"","transcriptome","Term_unique","n_species","n_divided","n_Pgen","Pgen_normalized","normalized","log_scale"
"78","Manila_r","vesicle-mediated transport",35,0.0251798561151079,484,0.0274828232354778,0.916203400915631,-0.0875168855568702
"79","Manila_r","nervous system process",32,0.023021582733813,358,0.0203282039634319,1.13249467465134,0.124422876069374
"80","Manila_r","protein catabolic process",31,0.0223021582733813,302,0.017148373175856,1.30054075944542,0.262780146780625
"81","Manila_r","cilium organization",30,0.0215827338129496,178,0.0101073192890807,2.1353568830329,0.758633791040418
"82","Manila_r","microtubule-based movement",27,0.0194244604316547,161,0.00914201351428085,2.12474641404888,0.753652460690214
"83","Manila_r","mRNA metabolic process",26,0.018705035971223,197,0.0111861904491511,1.6721542562904,0.514112768953841
"84","Manila_r","transmembrane transport",25,0.0179856115107914,330,0.018738288569644,0.959832134292566,-0.0409968699219775
"85","Manila_r","cell adhesion",21,0.0151079136690647,387,0.0219749020498552,0.687507668283977,-0.374682295636011
"86","Manila_r","cell junction organization",20,0.0143884892086331,279,0.0158423712452445,0.908228256104794,-0.0962595485970269
"87","Manila_r","DNA repair",19,0.0136690647482014,181,0.0102776673669865,1.32997734409158,0.285161907570962
"88","Manila_r","carbohydrate derivative metabolic process",17,0.0122302158273381,301,0.0170915904832207,0.715569205764956,-0.334676961022312
"89","Manila_r","lipid metabolic process",17,0.0122302158273381,352,0.0199875078076202,0.611892985611511,-0.491197871871533
"90","Manila_r","membrane organization",17,0.0122302158273381,278,0.0157855885526092,0.774770974587237,-0.255187809964073
"91","Manila_r","defense response to other organism",16,0.0115107913669065,294,0.0166941116347737,0.689512063818333,-0.371771085428553
"92","Manila_r","nucleobase-containing small molecule metabolic process",15,0.0107913669064748,172,0.00976662313326898,1.10492303831354,0.0997756839591049
"93","Manila_r","cytokinesis",13,0.00935251798561151,96,0.00545113849298734,1.71569994004796,0.539821125664048
"94","Manila_r","autophagy",12,0.00863309352517986,161,0.00914201351428085,0.944331739577282,-0.0572777555261151
"95","Manila_r","chromosome segregation",12,0.00863309352517986,140,0.00794957696893987,1.08598150051387,0.0824841868490436
"96","Manila_r","generation of precursor metabolites and energy",12,0.00863309352517986,105,0.0059621827267049,1.4479753340185,0.370166259300825
"97","Manila_r","DNA replication",11,0.0079136690647482,102,0.00579183464879905,1.36634927352236,0.312142419184447
"98","Manila_r","chromatin organization",11,0.0079136690647482,115,0.00653000965305775,1.21189239912418,0.192183104105468
"99","Manila_r","circulatory system process",10,0.00719424460431655,189,0.0107319289080688,0.67035895093449,-0.399941962395249
"100","Manila_r","establishment or maintenance of cell polarity",10,0.00719424460431655,105,0.0059621827267049,1.20664611168208,0.18784470250687
"101","Manila_r","intracellular protein transport",10,0.00719424460431655,219,0.0124354096871274,0.578528957655793,-0.547266677152107
